,Team,Short Title of Team
0,Sevilla,SEV
1,Espanyol,ESP
2,Villarreal,VIL
3,Rayo Vallecano,RVL
4,Real Sociedad,SOC
5,Girona,GIR
6,Real Madrid,RMA
7,Mallorca,MAL
8,Atletico Madrid,ATL
9,Elche,ELC
10,Real Valladolid,VAL
11,Cadiz,CAD
12,Real Betis,BET
13,Valencia,VAL
14,Barcelona,BAR
15,Almeria,ALM
16,Getafe,GET
17,Celta Vigo,CEL
18,Osasuna,OSA
19,Athletic Club,ATH
